2021-01-07 01:44:57.0221 | INFO | ProjAssignment.LoggingHelper | Order # 29881 Validation Ended
2021-01-07 01:44:57.0221 | INFO | ProjAssignment.LoggingHelper | Order # 29881 Amount Calculation Started
2021-01-07 01:44:57.0221 | INFO | ProjAssignment.LoggingHelper | Item Name: C, Amount: 19.54
2021-01-07 01:44:57.0221 | INFO | ProjAssignment.LoggingHelper | Order # 29881  Total Amount = 20
2021-01-07 01:44:57.0221 | INFO | ProjAssignment.LoggingHelper | Order # 29881 Ended
2021-01-07 01:44:57.0365 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestRoundOff_Ceiling() 
--------------------
2021-01-07 01:44:57.0365 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestRoundOff_Floor() 
2021-01-07 01:44:57.1227 | INFO | ProjAssignment.LoggingHelper | Order # 76559 processing started
2021-01-07 01:44:57.1227 | INFO | ProjAssignment.LoggingHelper | Order # 76559 Validation Started
2021-01-07 01:44:57.1227 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 1
2021-01-07 01:44:57.1227 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 0
2021-01-07 01:44:57.1297 | INFO | ProjAssignment.LoggingHelper | Order # 76559 Validation Ended
2021-01-07 01:44:57.1297 | INFO | ProjAssignment.LoggingHelper | Order # 76559 Amount Calculation Started
2021-01-07 01:44:57.1297 | INFO | ProjAssignment.LoggingHelper | Item Name: C, Amount: 21.49
2021-01-07 01:44:57.1297 | INFO | ProjAssignment.LoggingHelper | Order # 76559  Total Amount = 21
2021-01-07 01:44:57.1297 | INFO | ProjAssignment.LoggingHelper | Order # 76559 Ended
2021-01-07 01:44:57.1297 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestRoundOff_Floor() 
--------------------
2021-01-07 01:44:57.1297 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestItem_C_QtyFraction() 
2021-01-07 01:44:57.2252 | INFO | ProjAssignment.LoggingHelper | Order # 70995 processing started
2021-01-07 01:44:57.2252 | INFO | ProjAssignment.LoggingHelper | Order # 70995 Validation Started
2021-01-07 01:44:57.2252 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 1
2021-01-07 01:44:57.2252 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 0
2021-01-07 01:44:57.2252 | INFO | ProjAssignment.LoggingHelper | Order # 70995 Validation Ended
2021-01-07 01:44:57.2252 | INFO | ProjAssignment.LoggingHelper | Order # 70995 Amount Calculation Started
2021-01-07 01:44:57.2252 | INFO | ProjAssignment.LoggingHelper | Item Name: C, Amount: 29.31
2021-01-07 01:44:57.2252 | INFO | ProjAssignment.LoggingHelper | Order # 70995  Total Amount = 29
2021-01-07 01:44:57.2405 | INFO | ProjAssignment.LoggingHelper | Order # 70995 Ended
2021-01-07 01:44:57.2405 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestItem_C_QtyFraction() 
--------------------
2021-01-07 01:44:57.2405 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestItem_ABC_Together() 
2021-01-07 01:44:57.3327 | INFO | ProjAssignment.LoggingHelper | Order # 65431 processing started
2021-01-07 01:44:57.3327 | INFO | ProjAssignment.LoggingHelper | Order # 65431 Validation Started
2021-01-07 01:44:57.3327 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 3
2021-01-07 01:44:57.3327 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 0
